,No,원래이름,상품명,최종상품명,수량
0,1,댓골두부찌개용,두부,두부,2.0
1,1,댓골두부찌개용,두부,두부,2.0
2,2,종가집콩이가득두부찌개용,두부,두부,2.0
3,5,강릉심층수순두부,두부,두부,1.0
4,16,백설두루두루두부,두부,두부,1.0
5,32,두부모,두부,두부,1.0
6,38,강릉최가두부,두부,두부,1.0
7,43,댓골보글보글두부찌개용,두부,두부,1.0
8,55,강릉최가두부,두부,두부,1.0
9,99,강릉최가두부,두부,두부,1.0
10,108,강릉최가두부,두부,두부,1.0
11,110,강릉최가두부,두부,두부,1.0
12,123,강릉최가두부,두부,두부,1.0
13,125,강릉최가두부,두부,두부,1.0
14,131,강릉최가두부,두부,두부,1.0
15,137,강릉최가두부,두부,두부,1.0
16,138,몽글몽글순두부,두부,두부,2.0
17,156,댓골국산부침찌개두부,두부,두부,1.0
18,166,댓골보글보글두부찌개용,두부,두부,1.0
19,167,댓골보글보글두부찌개용,두부,두부,1.0
20,174,다담바지락순두부양념,두부,두부,1.0
21,174,강릉심층수순두부,두부,두부,1.0
22,210,댓골보글보글두부찌개용,두부,두부,1.0
23,211,댓골지글지글두부부침용,두부,두부,1.0
24,215,종가집콩이가득두부찌개용,두부,두부,1.0
25,248,강릉최가두부,두부,두부,1.0
26,268,하늘찬연두부,두부,두부,2.0
27,268,강릉최가두부,두부,두부,2.0
28,281,두부모,두부,두부,1.0
29,281,하늘찬순두부,두부,두부,1.0
30,291,종가집콩이가득부침두부,두부,두부,1.0
31,292,두부,두부,두부,1.0
32,295,두부,두부,두부,1.0
33,300,두부모,두부,두부,1.0
34,318,댓골보글보글두부찌개용,두부,두부,1.0
35,334,행복한국산콩찌게두부,두부,두부,1.0
36,343,다담바지락순두부양념,두부,두부,1.0
37,379,다담바지락순두부양념,두부,두부,1.0
38,379,몽글몽글순두부,두부,두부,1.0
39,395,두부,두부,두부,1.0
40,417,두부모,두부,두부,1.0
41,461,댓골지글지글두부부침용,두부,두부,1.0
42,465,반모두부부침찌개,두부,두부,1.0
43,468,댓골보글보글두부찌개용,두부,두부,1.0
44,474,종가집콩이가득큰두부,두부,두부,1.0
45,522,강릉심층수순두부,두부,두부,2.0
46,546,강릉심층수순두부,두부,두부,1.0
47,548,맛있는콩두부찌개용,두부,두부,1.0
48,596,다담바지락순두부양념,두부,두부,1.0
49,608,백설두루두루두부,두부,두부,1.0
50,616,댓골지글지글두부부침용,두부,두부,1.0
51,620,댓골보글보글두부찌개용,두부,두부,1.0
52,621,댓골보글보글두부찌개용,두부,두부,1.0
53,630,댓골보글보글두부찌개용,두부,두부,1.0
54,633,행콩국산두부찌개,두부,두부,1.0
55,634,행콩국산두부찌개,두부,두부,1.0
56,636,행복한콩두부부침용,두부,두부,1.0
57,637,행콩국산두부찌개,두부,두부,1.0
58,638,행복한콩두부부침용,두부,두부,1.0
59,640,행복한콩두부부침용,두부,두부,2.0
60,644,행복한콩두부부침용,두부,두부,1.0
61,645,행콩국산두부찌개,두부,두부,1.0
62,647,행콩국산두부찌개,두부,두부,1.0
63,649,행복한콩두부부침용,두부,두부,1.0
64,651,행복한콩두부부침용,두부,두부,1.0
65,659,행복한콩두부부침용,두부,두부,1.0
66,660,행복한콩두부부침용,두부,두부,1.0
67,662,행복한콩두부부침용,두부,두부,1.0
68,664,행콩국산두부찌개,두부,두부,1.0
69,667,행복한콩두부부침용,두부,두부,1.0
70,667,두부,두부,두부,1.0
71,671,행복한콩두부부침용,두부,두부,1.0
72,674,행콩국산두부찌개,두부,두부,1.0
73,683,댓골보글보글두부찌개용,두부,두부,1.0
74,685,댓골보글보글두부찌개용,두부,두부,1.0
75,686,맛있는콩두부찌개용,두부,두부,1.0
76,688,종가집콩이가득두부찌개용,두부,두부,2.0
77,737,맛있는콩두부부침용,두부,두부,1.0
78,737,맛있는콩두부찌개용,두부,두부,1.0
79,741,맛있는콩두부부침용,두부,두부,2.0
80,747,맛있는콩두부부침용,두부,두부,1.0
81,752,맛있는콩두부부침용,두부,두부,1.0
82,753,행복한콩두부부침용,두부,두부,2.0
83,760,댓골보글보글두부찌개용,두부,두부,1.0
84,761,댓골보글보글두부찌개용,두부,두부,1.0
85,765,댓골보글보글두부찌개용,두부,두부,2.0
86,768,종가집콩이가득큰두부,두부,두부,1.0
87,813,맛있는콩두부찌개용,두부,두부,1.0
88,819,강릉심층수순두부,두부,두부,1.0
89,828,두부모,두부,두부,2.0
90,852,두부,두부,두부,1.0
91,867,두부모,두부,두부,1.0
92,869,두부,두부,두부,1.0
93,879,두부,두부,두부,1.0
94,903,두부모,두부,두부,2.0
95,910,종가집콩이가득두부찌개용,두부,두부,1.0
96,923,강릉최가두부,두부,두부,1.0
97,925,강릉심층수순두부,두부,두부,1.0
98,926,강릉최가두부,두부,두부,1.0
99,928,댓골지글지글두부부침용,두부,두부,1.0
100,930,댓골보글보글두부찌개용,두부,두부,1.0
101,931,강릉최가두부,두부,두부,1.0
102,933,강릉최가두부,두부,두부,1.0
103,936,강릉최가두부,두부,두부,1.0
104,947,강릉최가두부,두부,두부,1.0
105,950,강릉심층수순두부,두부,두부,1.0
106,952,강릉최가두부,두부,두부,1.0
107,955,강릉최가두부,두부,두부,1.0
108,959,강릉심층수순두부,두부,두부,1.0
109,962,강릉최가두부,두부,두부,1.0
110,967,강릉심층수순두부,두부,두부,1.0
111,971,강릉최가두부,두부,두부,1.0
112,1,남양맛있는우유기획,우유,우유,1.0
113,1,남양맛있는우유기획,우유,우유,1.0
114,2,서울우유입,우유,우유,1.0
115,3,서울우유입,우유,우유,1.0
116,5,서울우유입,우유,우유,1.0
117,6,서울우유입,우유,우유,1.0
118,7,서울우유입,우유,우유,1.0
119,8,서울우유입,우유,우유,1.0
120,10,우유식빵,우유,우유,1.0
121,10,서울우유입,우유,우유,1.0
122,12,남양맛있는우유기획,우유,우유,1.0
123,13,남양맛있는우유기획,우유,우유,1.0
